,idx_pair,idx_obj1,idx_obj2,sep,refcol_psf_md,n_refcol_psf,refcol_ap_md,n_refcol_ap,muclip,sigmaclip,nclip,magmax
145,146.0,131.0,272.0,102.0,0.07379990674145631,73.0,0.07394098133280202,73.0,0.07370057539046909,0.005911454467772718,73.0,14.342627598202796
146,147.0,468.0,538.0,102.0,0.2338386512031123,4.0,0.24244700417130982,4.0,0.24484102086956794,0.005990044414432177,4.0,13.686530496177667
147,148.0,109.0,217.0,102.0,0.020442793523368863,95.0,0.01713635319026885,95.0,0.01935253404938405,0.012423539174011221,95.0,15.638982067609549
148,149.0,150.0,369.0,103.0,0.7868164739425083,19.0,0.8063316071749309,19.0,0.8039058940168916,0.011772234356561979,19.0,15.311901373736552
149,151.0,111.0,385.0,103.0,0.7765689424684403,95.0,0.7822889883464708,95.0,0.779306394071604,0.031180936668806114,95.0,16.32558508935536
150,152.0,108.0,150.0,103.0,0.6666486146943829,50.0,0.6872535181709019,50.0,0.6864107616660169,0.008621314793867352,50.0,14.954834403350503
151,153.0,64.0,385.0,104.0,0.829939522748143,92.0,0.8371395610427301,92.0,0.8373117156704583,0.03116523257701025,92.0,16.31882446737228
152,154.0,550.0,618.0,104.0,0.04692775665664772,6.0,0.038060986720626744,6.0,0.039155670267848976,0.008577080401967589,6.0,14.921633793982748
153,155.0,108.0,385.0,104.0,0.5832287481321661,50.0,0.593420481733598,50.0,0.5913325075720121,0.023075019727490136,50.0,16.317190151050923
154,156.0,907.0,909.0,105.0,0.7666847642927106,29.0,0.770836549724736,29.0,0.7718060616784762,0.02249303376615478,29.0,16.320442574614855
155,157.0,460.0,596.0,105.0,0.21897165435761856,12.0,0.2090550385691472,12.0,0.21183407380586225,0.018791268749308265,12.0,16.279786608724798
156,158.0,262.0,909.0,105.0,0.06461479773223733,22.0,0.052616158801599866,22.0,0.0526309877962841,0.006917461278481262,22.0,13.618900695582791
157,159.0,948.0,963.0,105.0,0.4760576609116054,3.0,0.501293161347462,3.0,0.501393261303015,0.005724373831957281,3.0,15.750058505208036
158,160.0,118.0,272.0,107.0,0.02953082859579048,67.0,0.02713373740182945,67.0,0.02729127211994545,0.016777046823721272,67.0,15.706217317487326
159,161.0,108.0,111.0,108.0,0.18730348210421344,60.0,0.1866828027153593,60.0,0.1856866675257009,0.01636787465797088,60.0,15.850264686741404
160,162.0,468.0,909.0,108.0,0.024271248201795714,17.0,0.03079845563149597,17.0,0.03192255074593565,0.007704186836162805,17.0,13.70570317280417
161,163.0,204.0,913.0,109.0,0.3553109498127336,16.0,0.3644841544272426,16.0,0.3615060086273718,0.014056011336026797,16.0,15.712297188698539
162,165.0,201.0,204.0,109.0,0.01990813743609099,70.0,0.012776445106746692,70.0,0.015267768150858048,0.010866392613561815,70.0,15.743235476571009
163,166.0,262.0,385.0,109.0,1.162011216054383,53.0,1.1673497103683008,53.0,1.1719678050899784,0.0220665464865102,53.0,16.31764415543561
164,167.0,262.0,538.0,109.0,0.12024497963731484,3.0,0.1458070308594106,3.0,0.14919223923797928,0.004845395029455587,3.0,13.61520823659262
165,168.0,244.0,958.0,110.0,0.08213843247545505,15.0,0.08511800207304532,15.0,0.08619803470434005,0.008677857471184587,15.0,15.310383005009909
166,169.0,97.0,658.0,110.0,0.15043865623468022,12.0,0.09701044255224822,12.0,0.09405676004874985,0.017200842613863145,12.0,16.426076836924715
167,170.0,111.0,909.0,110.0,0.3266532545947216,54.0,0.33674669373430444,54.0,0.33289292632555717,0.016202471299381994,54.0,15.855376453206016
168,171.0,131.0,669.0,110.0,0.24795349617921492,18.0,0.2611546115868997,18.0,0.26264699842922506,0.013266055557698567,18.0,15.15836825327114
169,172.0,558.0,715.0,110.0,0.3060263156796674,8.0,0.30073944469430547,8.0,0.30147153750247857,0.019462951195215055,8.0,16.385693173262347
170,173.0,109.0,913.0,111.0,0.261204818722339,27.0,0.2626414422017671,27.0,0.26285439918567816,0.021050403876984786,27.0,15.63823203759278
171,174.0,101.0,489.0,111.0,0.38479035866253675,33.0,0.3845883644198178,33.0,0.3828652280034003,0.013416869977917485,33.0,15.59918415489223
172,175.0,470.0,523.0,111.0,0.01508976772955073,25.0,0.005749155959183128,25.0,0.007927940427530587,0.006594124052213798,25.0,14.537306440289598
173,176.0,64.0,180.0,112.0,0.6680757902585093,30.0,0.6783233497036463,30.0,0.6795921307063897,0.01648525252690544,30.0,15.776515382878644
174,177.0,111.0,648.0,112.0,0.15760265999874878,70.0,0.15995216449778216,70.0,0.15876140132609598,0.019912430760796487,70.0,15.85161260880405
175,178.0,653.0,907.0,113.0,0.7220449849568809,13.0,0.7324545492241654,13.0,0.7368219882728062,0.030442586989602075,13.0,16.328256716196126
176,179.0,262.0,648.0,114.0,0.5486853889958709,40.0,0.5557414645190528,40.0,0.5559443241916013,0.013441733337797142,40.0,15.357750270350593
177,180.0,141.0,653.0,114.0,0.47882759347596693,24.0,0.48725840907914364,24.0,0.4876413305354002,0.013510031447041363,24.0,15.401942228056292
178,181.0,108.0,658.0,114.0,0.6800671077331355,14.0,0.6145049914823657,14.0,0.6129321878483169,0.009040499150459808,14.0,15.168669160304935
179,182.0,118.0,489.0,114.0,0.27375655639502305,31.0,0.29966429081320634,31.0,0.30250067102847505,0.02179667929713236,31.0,15.706643183972329
180,183.0,109.0,489.0,114.0,0.12205074730377952,41.0,0.13864995457332263,41.0,0.13783457103125746,0.023493830540087714,41.0,15.633413740293763
181,184.0,551.0,596.0,114.0,0.37110976025191267,18.0,0.3948489286926762,18.0,0.3917955293885202,0.02205153981910901,18.0,16.27377406712219
182,185.0,150.0,658.0,115.0,0.016148702992834885,19.0,0.06644180854393156,19.0,0.06703280256096698,0.010013114177642862,19.0,15.16926751101386
183,186.0,392.0,653.0,115.0,0.20925007895920977,18.0,0.21795687962313348,18.0,0.2178518429915201,0.00585544373047761,18.0,14.347637405975195
184,187.0,478.0,489.0,116.0,0.16628349310895807,31.0,0.17710646578094646,31.0,0.17899009794322007,0.01896791716964862,31.0,15.593355017939745
185,188.0,619.0,621.0,116.0,1.2965144487541238,11.0,1.29753933608845,11.0,1.2999926744506671,0.015566885497037941,11.0,16.524709526947667
186,189.0,468.0,721.0,116.0,0.2923280531162664,8.0,0.2937102496460442,8.0,0.297045650311476,0.015389365088296737,8.0,15.67203519294663
187,190.0,538.0,621.0,116.0,0.4697507842656812,3.0,0.47711150866409646,3.0,0.47789427065969764,0.004274959932374958,3.0,15.225194138394844
188,191.0,64.0,175.0,117.0,0.0803912695601312,63.0,0.09224858007336323,63.0,0.09145433154964074,0.020376723597939014,63.0,15.77676489235844
189,192.0,64.0,909.0,117.0,0.28563494764171615,37.0,0.28890692201076185,37.0,0.28987794212578616,0.01580525247560573,37.0,15.780897677188
190,193.0,97.0,550.0,117.0,0.8919952915522256,34.0,0.9210263744144376,34.0,0.9203869498924144,0.027235619862564068,34.0,16.442539330454174
191,194.0,558.0,813.0,117.0,0.37824562411730156,19.0,0.3699354431645734,19.0,0.3695561386081149,0.019124326351005014,19.0,16.398057878712258
192,195.0,558.0,948.0,118.0,0.6455754574565367,8.0,0.6609416738409797,8.0,0.6651066920341122,0.012778227206282468,8.0,15.074598194630283
193,196.0,468.0,545.0,118.0,0.22327075972317445,19.0,0.23854647318822408,19.0,0.2374616322627761,0.008445512368803717,19.0,14.493095167303258
194,197.0,824.0,963.0,118.0,0.8994857411871102,11.0,0.9279764052147996,11.0,0.9260140274193546,0.01684374801960285,11.0,15.810898278345872
195,198.0,175.0,658.0,118.0,1.0108461762213903,11.0,0.9430154453474664,11.0,0.9407366359204997,0.016967263377623984,11.0,15.556684113801545
196,199.0,913.0,958.0,119.0,0.04756357353438645,5.0,0.039747365466325846,5.0,0.04041509245206569,0.002369412777473184,5.0,14.395829509206363
197,200.0,596.0,958.0,119.0,0.4081104522715453,8.0,0.41293883229048856,8.0,0.40186608618633657,0.029816277869130044,8.0,16.267214245214234
198,201.0,118.0,159.0,119.0,0.2388659477150803,95.0,0.2483938457525099,95.0,0.24747025768613617,0.022798700376941886,95.0,15.829405324815935
199,202.0,111.0,180.0,119.0,0.6131293114067837,27.0,0.6198405699230367,27.0,0.6256283227656494,0.024640695474422502,27.0,15.841491058037288
200,203.0,97.0,108.0,119.0,0.5106857420046378,43.0,0.5310140554191776,43.0,0.5305220133196407,0.02634537423636066,43.0,16.44179491842063
201,204.0,123.0,909.0,120.0,1.034800986719759,31.0,1.0454965303630779,31.0,1.0430789994479863,0.011543515416383869,31.0,15.406849694813094
202,205.0,108.0,204.0,120.0,0.10615130552293728,11.0,0.11267593737268733,11.0,0.11337815373823723,0.01735904351535905,11.0,15.712939622229882
203,206.0,244.0,523.0,120.0,0.06784448581930747,45.0,0.07192645060260539,45.0,0.07329034347399002,0.01200922094655116,45.0,15.304056779089224
204,207.0,97.0,721.0,120.0,0.7238473699065668,10.0,0.7243597648515587,10.0,0.7247919318300138,0.03267730726686732,10.0,16.44661524054809
205,208.0,101.0,123.0,120.0,0.20342515015611617,69.0,0.21203992163042784,69.0,0.21107382819041,0.012807204740420205,69.0,15.41113725062611
206,209.0,131.0,654.0,121.0,0.03968482025053355,14.0,0.06979765792036385,14.0,0.06730563403968569,0.007894056685991233,14.0,14.332833991817377
207,210.0,180.0,262.0,122.0,0.9962425750962369,20.0,1.0209952622811027,20.0,1.0232836877771951,0.011622689810240063,20.0,15.46697258482076
208,211.0,131.0,159.0,122.0,0.3435060845240603,94.0,0.35341073431473013,94.0,0.3549909366279477,0.017110524159776704,94.0,15.828887321872408
