,idx_pair,idx_obj1,idx_obj2,sep,refcol_psf_md,n_refcol_psf,refcol_ap_md,n_refcol_ap,muclip,sigmaclip,nclip,magmax
250,253.0,558.0,950.0,132.0,0.8812579154238813,14.0,0.8934897200069933,14.0,0.8875975425814578,0.014040091367163113,14.0,15.117226240719887
251,254.0,558.0,824.0,132.0,1.0646791819729877,17.0,1.0771950422364558,17.0,1.083521092281329,0.014913940592866944,17.0,15.813176927827426
252,255.0,669.0,983.0,133.0,0.7282915132960417,10.0,0.7648272584417413,10.0,0.7674123974293426,0.023374804572417654,10.0,16.181626322231054
253,256.0,111.0,175.0,133.0,0.13438098275440602,67.0,0.1489389975736337,67.0,0.14595893169105598,0.0226546198359139,67.0,15.851145218187154
254,257.0,111.0,141.0,133.0,0.17898287146717884,71.0,0.18726275671720494,71.0,0.187652664915156,0.02062036479984543,71.0,15.85854296468174
255,258.0,470.0,913.0,133.0,0.04913599497782961,13.0,0.04825478798820981,13.0,0.04840640004450236,0.006799312822230226,13.0,14.542740356419548
256,259.0,101.0,653.0,133.0,0.7845209916666853,49.0,0.7903519355659299,49.0,0.7885195836423188,0.011340865674648403,49.0,14.705003460871138
257,260.0,109.0,470.0,134.0,0.21522283122539942,40.0,0.21236402176763924,40.0,0.21343123318905718,0.014957992974800707,40.0,15.632398123347677
258,261.0,64.0,108.0,134.0,0.24413625931538796,72.0,0.23565169526534202,72.0,0.23713834641502668,0.018312946514052714,72.0,15.775312876877695
259,262.0,618.0,619.0,134.0,1.449090493889332,2.0,1.4277584871207205,2.0,1.4277584871207205,0.023270165083846273,2.0,16.57834109527367
260,263.0,489.0,907.0,134.0,0.31868086063354095,6.0,0.3324960652788329,6.0,0.32095463554868164,0.031763393953278984,6.0,16.309859484341892
261,264.0,131.0,489.0,134.0,0.3825877962910802,29.0,0.3863351234272603,29.0,0.388786648852678,0.014273540826167932,29.0,15.601626620683277
262,265.0,108.0,180.0,135.0,0.4347248276331266,6.0,0.44497313949236705,6.0,0.44409505567537916,0.009252399142043349,6.0,15.478787731308492
263,266.0,101.0,907.0,135.0,0.06202273134370451,42.0,0.06472065005698724,42.0,0.058982657799663094,0.023260096106574635,42.0,16.324527430635477
264,267.0,527.0,653.0,135.0,0.9703801825257026,10.0,0.9834985158134888,10.0,0.9812299553662353,0.006528076603964695,10.0,15.26758911723383
265,268.0,257.0,558.0,136.0,0.06658382932214568,40.0,0.0609913381075069,40.0,0.06172331562866571,0.012360389490788189,40.0,15.20114041921412
266,269.0,150.0,824.0,136.0,0.16808208675482028,32.0,0.17729696259185612,32.0,0.177236589897037,0.01694676105781603,32.0,15.81203760308665
267,270.0,619.0,944.0,136.0,0.7145078249425394,10.0,0.690318798618323,10.0,0.6943372007549284,0.020562238853245783,10.0,16.535337654371883
268,271.0,272.0,865.0,136.0,0.4721649292521599,24.0,0.475761850774588,24.0,0.47885335237131116,0.010449788373221011,24.0,14.512598853327656
269,272.0,101.0,272.0,137.0,0.6924991790232315,42.0,0.701537470410349,42.0,0.7021972341754776,0.009691535525754356,42.0,14.706536980953548
270,273.0,175.0,550.0,137.0,0.07997582113362611,23.0,0.07027198842984461,23.0,0.06924036437254513,0.0143323663549598,23.0,15.5703347616458
271,274.0,175.0,944.0,138.0,0.6619239998771871,20.0,0.6871301010792799,20.0,0.6823465620168893,0.01956668665370425,20.0,15.970690068678845
272,275.0,111.0,201.0,138.0,0.06957092144830757,140.0,0.07041057813721974,140.0,0.06936888467598702,0.023848133856176585,140.0,15.854714458138144
273,276.0,150.0,470.0,138.0,1.0970469598615225,30.0,1.111940032331841,30.0,1.1130584079721133,0.012849949861446311,30.0,14.95880025939277
274,277.0,558.0,913.0,139.0,0.21347971163974933,9.0,0.2583479441852141,9.0,0.25847930994270996,0.007377537835873135,9.0,14.639769337925866
275,278.0,111.0,907.0,139.0,0.42243862988712877,53.0,0.4374138735926394,53.0,0.4314485603485511,0.03199399128588713,53.0,16.320258120045754
276,279.0,118.0,433.0,140.0,0.10435907674719758,29.0,0.11934636663445275,29.0,0.12315765758212814,0.017649197701729753,29.0,15.709976590903384
277,280.0,141.0,262.0,140.0,0.5638349731451058,27.0,0.5839767516657748,27.0,0.584065816070697,0.012891501462846797,27.0,15.406302311314262
278,281.0,369.0,558.0,141.0,0.1280562956192277,11.0,0.1117507412553902,11.0,0.11370026488531418,0.01013817277385345,11.0,15.294053484994812
279,282.0,141.0,489.0,141.0,0.07005629665669488,20.0,0.08475676253088515,20.0,0.08067892185831216,0.019608821182633015,20.0,15.60704482119507
280,283.0,123.0,201.0,141.0,0.6257063032507357,116.0,0.6397235098719722,116.0,0.6373000630336297,0.01863000720842982,116.0,15.739679630161532
281,284.0,262.0,618.0,141.0,0.22075286327954124,10.0,0.2241647507648814,10.0,0.22442098299161675,0.011361406132023395,10.0,13.811240119480845
282,285.0,257.0,658.0,141.0,0.8548789792132787,24.0,0.7722802894061056,24.0,0.7711676162449285,0.015311780978148311,24.0,15.199495739861893
283,286.0,257.0,470.0,141.0,0.25514755241253795,41.0,0.2683395518507208,41.0,0.2658798465603413,0.011243544903962547,41.0,15.198152442423655
284,287.0,175.0,538.0,142.0,0.39367318402779716,7.0,0.38610437497854555,7.0,0.39192234379492036,0.013600994281527922,7.0,15.570527414171227
285,288.0,101.0,141.0,142.0,0.3028055186972063,52.0,0.30820947455114034,52.0,0.3086487508104078,0.01139390317442477,52.0,15.406386652089974
286,289.0,159.0,907.0,142.0,0.3633951857683275,48.0,0.36005293102236813,48.0,0.3575822472730939,0.026250793441587896,48.0,16.325891240728907
287,290.0,118.0,654.0,143.0,0.037622003893647005,15.0,0.02884749999271996,15.0,0.031312711548430155,0.012672664759851484,15.0,15.70015919639934
288,291.0,109.0,118.0,144.0,0.14571720000731503,94.0,0.15000255211808522,94.0,0.14894321127720617,0.02013443417703527,94.0,15.703827961957662
289,292.0,460.0,913.0,145.0,0.19467925270552833,14.0,0.2210508756249263,14.0,0.22198646713223877,0.020181449640275063,14.0,15.64601381596186
290,293.0,159.0,392.0,145.0,0.14128024847866172,46.0,0.1495746432031737,46.0,0.14858034051989696,0.017978230026989013,46.0,15.827007661119247
291,294.0,101.0,433.0,145.0,0.5589082788936386,26.0,0.5491517396505019,26.0,0.5492995032332743,0.012637927407454624,26.0,15.202914050373595
292,295.0,64.0,468.0,145.0,0.24099115324074027,42.0,0.25058072935961384,42.0,0.2490666729555573,0.015755812847277586,42.0,15.780372899004156
293,296.0,244.0,610.0,146.0,0.9947688288907202,36.0,1.0051368600244146,36.0,1.0064243867498264,0.024911458872463453,36.0,16.55479943274647
294,297.0,141.0,159.0,147.0,0.12076107936849656,56.0,0.11538730569433397,56.0,0.11317766093254367,0.021317204581348167,56.0,15.838263897337903
295,298.0,109.0,369.0,147.0,0.09324133558007475,25.0,0.09466366190465791,25.0,0.09515857449284859,0.019087584305836704,25.0,15.63245261888266
296,299.0,262.0,907.0,147.0,0.8072120872957207,23.0,0.8305193486992781,23.0,0.8314604009600748,0.027128470318999592,23.0,16.324143412073663
297,300.0,262.0,468.0,147.0,0.09307376108336207,25.0,0.09006916744623972,25.0,0.08925970834603604,0.010959719895415295,25.0,13.686324197909954
298,301.0,109.0,204.0,147.0,0.1028211108284065,51.0,0.09761393466238033,51.0,0.10041837413765212,0.017627410532904415,51.0,15.704715015203773
