,obj,ra_psf,dec_psf,g_psf,r_psf,i_psf,z_psf,y_psf,sg_psf,sr_psf,si_psf,sz_psf,sy_psf,g_r_psf,z_y_psf,sig_g_r_psf,sig_z_y_psf,sizecode_psf,ra_ap,dec_ap,g_ap,r_ap,i_ap,z_ap,y_ap,sg_ap,sr_ap,si_ap,sz_ap,sy_ap,g_r_ap,z_y_ap,sig_g_r_ap,sig_z_y_ap,sizecode_ap
10,150.0,122.47244728327304,-36.14029808762361,14.959603954110118,13.567745438735155,12.861610859255027,12.52133236662456,12.318366827057229,0.026205355499833115,0.030907116816699245,0.028756620918244827,0.023675381976975902,0.04026231344992554,1.3918585153749632,0.2029655395673302,0.040521235504285,0.04670736126239386,148.93338166877203,122.47244728327304,-36.14029808762361,14.961924598670816,13.5472789019115,12.84353352918994,12.505915166708336,12.311496372266792,0.011490960239840862,0.011609899964132893,0.019429589473182317,0.008951134675771102,0.030388675003570446,1.4146456967593153,0.1944187944415443,0.016334991411408102,0.031679557769268486,299.4084833291664
11,159.0,122.56210340125511,-36.21080076132043,15.829870913444468,15.211115809724474,14.865053110538454,14.740589033127575,14.734420961636783,0.021743327413133236,0.026328854481927875,0.025584916884794265,0.02295169561870783,0.05012559630698876,0.6187551037199945,0.0061680714907925704,0.034146461973757175,0.0551303522291035,37.97054834362123,122.56210340125511,-36.21080076132043,15.824639565398009,15.198751441763342,14.84623595595584,14.727240031039791,14.718173474247898,0.01948195179595677,0.014534712206262087,0.016899816323515417,0.015789952958593822,0.04456372348272402,0.6258881236346667,0.009066556791893277,0.02430646631451901,0.04727841013696732,77.27599689602087
12,175.0,122.42323543220209,-36.18825990520626,15.56438459626116,15.164204960800797,14.96614771980006,14.887449299881002,14.899435457417836,0.028051308073408526,0.025674831931811016,0.027598475553446026,0.0279827529835138,0.03075108675989276,0.40017963546036306,-0.01198615753683363,0.03802726494708786,0.041577202905568364,30.627535005949902,122.42323543220209,-36.18825990520626,15.557129048221787,15.161866550359019,14.963086428656256,14.88426481742507,14.893810551852242,0.014053021062769682,0.014402181255960576,0.0215417901488319,0.014002628386419339,0.03949795636614865,0.39526249786276857,-0.009545734427172547,0.020122381218936055,0.0419065884895244,61.57351825749302
13,180.0,122.4324463333783,-36.1806987624894,15.472063898802976,14.316941273431418,13.748660085136615,13.45748330092693,13.306783050489276,0.031067461181104726,0.021539530198967493,0.025849003133115334,0.0376937441209654,0.07145837864879447,1.1551226253715576,0.15070025043765334,0.03780394827834365,0.08079058252650057,102.12583495365352,122.4324463333783,-36.1806987624894,15.475549499783016,14.308972203518254,13.733098058843352,13.449870693223527,13.306553993558275,0.012563467309962502,0.011126547002918123,0.024625202575844333,0.009985133543208083,0.02881753516274953,1.1665772962647623,0.1433166996652524,0.01678215597164568,0.0304984134789337,205.01293067764726
14,201.0,122.50662252152624,-36.17634469541338,15.740949724883883,15.12663432804401,14.89921026485096,14.811261334063055,14.844573802614361,0.022965247550765292,0.033797304626260294,0.02457139691336462,0.0405472548996451,0.050373246155603006,0.6143153968398725,-0.03331246855130665,0.04086147813121996,0.0646648575978465,34.43693329684727,122.50662252152624,-36.17634469541338,15.73857084333606,15.121020554855027,14.878951452609492,14.803399358004325,14.834675051222028,0.016901652888855163,0.01377772370896255,0.016342197798107753,0.01694075640112883,0.04703108390531875,0.6175502884810324,-0.03127569321770274,0.021805768525228704,0.049989119623689314,69.66006419956744
15,204.0,122.50653470498959,-36.14585338874767,15.70348486381764,15.092022104382435,14.735782532054,14.51925298033602,14.397173963630403,0.022265592402706227,0.06853641048353677,0.019494852157174423,0.04496474760514377,0.04536544957039752,0.611462759435204,0.1220790167056176,0.07206244630187972,0.06387372340734931,49.03735098319899,122.50653470498959,-36.14585338874767,15.697978720889129,15.080308373638786,14.728636248964516,14.517008579535696,14.395984439999435,0.017284656207088155,0.016028034531718756,0.01904831077329019,0.014247521755367223,0.04425212668996581,0.6176703472503426,0.1210241395362619,0.02357238280588536,0.046489166402017224,98.29914204643035
16,217.0,122.58436828301154,-36.1561010455529,15.582938488111793,15.043268999181784,14.724719916444549,14.588655570310118,14.54748376635856,0.022020253662517038,0.033847871209131616,0.022344035692260313,0.03677067235502391,0.09022075170349945,0.5396694889300093,0.04117180395155806,0.040380316451850105,0.09742620994057513,45.567221484494084,122.58436828301154,-36.1561010455529,15.579949109094365,15.038630673524116,14.722621297117293,14.589907038877366,14.550392111518986,0.016217978311568914,0.012856749684739419,0.019156363324636494,0.014957186934588728,0.0450207179710825,0.5413184355702487,0.039514927358379026,0.02069586511771293,0.04744030446390477,91.00929611226346
17,244.0,122.50713671425129,-36.09783728813559,15.304056779089224,14.93484986871879,14.762610300254584,14.752746152952401,14.818046572596227,0.02220385367824758,0.06907000454763515,0.011005454143541192,0.06914175946809903,0.0793957974937807,0.3692069103704352,-0.06530041964382605,0.0725512001718467,0.10528188620089353,37.362692352379945,122.50713671425129,-36.09783728813559,15.296677277480557,14.921446055168522,14.741265303869266,14.733906594489913,14.8136979607616,0.012303456782553165,0.013702926301954353,0.013329429510084074,0.01399352344054829,0.051953253278968665,0.3752312223120349,-0.07979136627168693,0.018415896340850363,0.053804825290580054,76.60934055100874
18,257.0,122.4767057366146,-36.132520397752266,15.200160663459584,14.64368105827765,14.321275023295366,14.148868598581208,14.059460061662003,0.02160638751943403,0.03159878793761015,0.024576103945729236,0.02624006150234447,0.04771733631934215,0.5564796051819343,0.0894085369192048,0.038279490340990846,0.0544562669769057,67.5565700709396,122.4767057366146,-36.132520397752266,15.185984227717885,14.622744964534448,14.31158553546046,14.135296961821009,14.051443397152962,0.010504175053959806,0.01401093980651558,0.016154937447117584,0.013113591002187858,0.03833602974879403,0.5632392631834371,0.08385356466804694,0.017511257174344576,0.04051687853071955,136.4703038178991
19,262.0,122.46505183767341,-36.20220578232441,13.618701648614405,13.474430766284083,13.435971482774692,13.44245318554984,13.527124030051311,0.02069337835747641,0.0221654486855706,0.021268599058960024,0.034226908784724584,0.04554084835508811,0.14427088233032137,-0.08467084450147055,0.030323638028415006,0.05696885248852207,102.87734072250797,122.46505183767341,-36.20220578232441,13.606047463232985,13.459754097730581,13.43032986567232,13.432916724301307,13.529592884102325,0.012526031966156106,0.013521766121564112,0.013843791308623366,0.010458826855560058,0.027302860942634212,0.14629336550240346,-0.09667615980101729,0.018432027448532177,0.029237531955474714,206.70832756986925
20,272.0,122.58011898232212,-36.150032013232114,14.33340838535108,13.989264711909913,13.777700586683014,13.695299759473535,13.675007876323566,0.01880745801203271,0.04597502658810632,0.013771165591773651,0.03799619339012103,0.07898071340644203,0.3441436734411667,0.020291883149969436,0.04967316727018176,0.0876451014166223,90.23501202632325,122.58011898232212,-36.150032013232114,14.324117639759653,13.98326327160908,13.76867127740638,13.694175519169258,13.67992224632796,0.012137336095504745,0.007838930587692378,0.010809756194072663,0.011179910901089933,0.03886592666529299,0.34085436815057335,0.01425327284129807,0.014448659462175082,0.04044194188349815,180.58244808307418
21,308.0,122.41228270405347,-36.186191528406084,15.466607899153836,14.919415215742923,14.683280213926647,14.54596802159223,14.533801652475804,0.02919766833880922,0.02333049005692339,0.032959533320705725,0.06280572367622786,0.07553763480145934,0.5471926834109127,0.012166369116426878,0.03737399634397295,0.09823692380105013,47.70159892038848,122.41228270405347,-36.186191528406084,15.46724963103904,14.915648492562052,14.65495295474809,14.539737145143349,14.53407213287881,0.011423195189365135,0.010061316424556408,0.017762738410948768,0.010699653383562263,0.02983295546718497,0.5516011384769879,0.005665012264538305,0.015222334792316956,0.03169365574425609,96.02628548566514
22,346.0,122.55761020097307,-36.23734188494892,13.78402734989364,13.396295521902594,13.256941545569216,13.240065855515361,13.33263005804976,0.020064556851281175,0.10988877014601989,0.010900870112771953,0.028208816248742653,0.04608775006041663,0.3877318279910451,-0.09256420253439934,0.11170554259231315,0.0540353404707212,112.99670722423194,122.55761020097307,-36.23734188494892,13.78789753419563,13.3962385707812,13.247430473817744,13.248751600281732,13.337623517322085,0.010302584626049036,0.00962485540065185,0.011291574731753106,0.009313855254728928,0.032976609455474114,0.39165896341442874,-0.08887191704035224,0.014098974837212775,0.034266669970758855,225.12483997182676
23,369.0,122.50651512901845,-36.132251039371155,15.300275385033416,14.6971781155111,14.458162673158624,14.402482491590298,14.444792069910651,0.022102242168100406,0.019932264732503868,0.024510362123398074,0.023522867410155912,0.055032446154848716,0.6030972695223156,-0.04230957832035287,0.029762464384253756,0.059848938344653185,54.87587542048509,122.50651512901845,-36.132251039371155,15.29239676563258,14.676972734707967,14.45312932640087,14.381001401814984,14.437153204049624,0.012183027826092567,0.011927326550123053,0.023489589747631646,0.013045172479448258,0.04118770126563682,0.6154240309246131,-0.05615180223463945,0.01704955382538253,0.043204204200122644,111.89985981850157
24,385.0,122.44238918360796,-36.1777514035144,16.31874160168124,15.010845965949699,14.355431229198455,14.055204765082689,13.882384286618182,0.02771220099285182,0.0207618673010107,0.019392611920907493,0.03306940240995665,0.0331213600571374,1.3078956357315406,0.17282047846450688,0.0346268857637096,0.046803951412099636,72.23976174586556,122.44238918360796,-36.1777514035144,16.30438912832851,14.988608741982361,14.337709943244608,14.028045389349572,13.859883558241153,0.025416352033124496,0.012248991300113124,0.016428238029451092,0.014156824571180027,0.031544905296512674,1.3157803863461481,0.16816183110841898,0.028213981260041248,0.03457595598251941,147.19546106504282
25,392.0,122.55348041669046,-36.25053035257505,14.348143388766967,13.873195707482694,13.722604573938398,13.702332232237552,13.782720386507954,0.02565334986650845,0.02927873020132699,0.008978993443040414,0.0325534620566692,0.04187066885412602,0.47494768128427367,-0.08038815427040191,0.03892734773363819,0.05303659870473294,89.8833883881224,122.55348041669046,-36.25053035257505,14.346969165079644,13.87191422082184,13.724128584443338,13.70250111751311,13.783151372045197,0.012895290994577816,0.009214930553092875,0.014223007230284886,0.011848199212780462,0.028522015798546806,0.4750549442578045,-0.08065025453208641,0.015849399828799963,0.030885032132058485,179.749888248689
26,414.0,122.43620951496662,-36.096039498932946,15.765970437783997,15.165334183138963,14.827558448036289,14.67431637779432,14.590381337860839,0.016813409642292314,0.020244806141286296,0.01610308014538881,0.09561205524740703,0.07809663636247,0.6006362546450337,0.08393503993348084,0.026316210203936877,0.12345343138108833,41.284181110284024,122.43620951496662,-36.096039498932946,15.757321715989915,15.147238738894378,14.811052421718927,14.653199705202848,14.580633373042144,0.013659856981608515,0.013282058335407234,0.013673206510565541,0.011826407840087648,0.0410295904538218,0.6100829770955372,0.0725663321607044,0.01905268396796524,0.04270001422960455,84.6800294797152
