,mjd,res
162,59221.75,-8.895081477768485
163,59221.791666666664,-9.722605575852242
164,59221.833333333336,-9.813094093745207
165,59221.875,-12.634294246777188
166,59221.916666666664,-12.274966456681824
167,59221.958333333336,-13.9828560084363
168,59222.0,-11.199431477768485
169,59222.041666666664,-10.451552121219322
170,59222.083333333336,-8.656584373297278
171,59222.125,-9.474991113869692
172,59222.166666666664,-6.73102372984647
173,59222.208333333336,-6.66744645668183
174,59222.25,-6.032712316424636
175,59222.291666666664,-3.135935211953438
176,59222.333333333336,-1.2927114777684778
177,59222.375,-0.11026870875974737
178,59222.416666666664,-1.9985421212193728
179,59222.458333333336,-2.6524514355951396
180,59222.5,-1.8381924007713906
181,59222.541666666664,-2.0804130020488856
182,59222.583333333336,-1.4923249324014023
183,59222.625,-2.355875211953446
184,59222.666666666664,-5.566602833355432
185,59222.708333333336,-3.717638023135521
186,59222.75,-4.302225169780058
187,59222.791666666664,-3.651120512592229
188,59222.833333333336,-3.640063967225103
189,59222.875,-4.819158302687583
190,59222.916666666664,-5.05645922569056
191,59222.958333333336,-3.613196177129737
192,59223.0,-2.6094096317626736
193,59223.041666666664,-3.9342830020488577
194,59223.083333333336,-3.4158149745748005
195,59223.125,-4.394494331123894
196,59223.166666666664,-4.465475296300156
197,59223.208333333336,-4.887137464031412
198,59223.25,-4.07573188384066
199,59223.291666666664,-6.101036372335102
200,59223.333333333336,-4.958675771057585
201,59223.375,-2.535654932401428
202,59223.416666666664,-1.5971787087597704
203,59223.458333333336,-0.851714331123901
204,59223.5,1.6460279896392649
205,59223.541666666664,-1.1507236876731213
206,59223.583333333336,-1.3746486665863813
207,59223.625,-0.009895939751061178
208,59223.666666666664,0.13411931871434035
209,59223.708333333336,-1.9494755758522615
210,59223.75,-3.3630471001326327
211,59223.791666666664,-4.315510554765581
212,59223.833333333336,-7.21173577105759
213,59223.875,-8.08204521195347
214,59223.916666666664,-8.179155254126783
215,59223.958333333336,-8.906195533678897
216,59224.0,-7.046576583201897
217,59224.041666666664,-9.338501715147174
218,59224.083333333336,-5.76431164646192
219,59224.125,-8.05185272249679
220,59224.166666666664,-7.918089589589272
221,59224.208333333336,-8.476693925051734
222,59224.25,-6.602035618025582
223,59224.291666666664,-4.568417590551519
224,59224.333333333336,-6.355697701410122
225,59224.375,-4.82745336594769
226,59224.416666666664,-3.6582937720198174
227,59224.458333333336,-4.90715147776848
228,59224.5,-4.949225211953433
229,59224.541666666664,-3.8557924851181156
230,59224.583333333336,-5.173018666586415
231,59224.625,-6.1839177014101665
232,59224.666666666664,-5.496147142306029
233,59224.708333333336,-7.168690148693429
234,59224.75,-4.9822503173868995
235,59224.791666666664,-5.5483490304852126
236,59224.833333333336,-5.297306862753942
237,59224.875,-4.861303128568977
238,59224.916666666664,-5.22465963176262
239,59224.958333333336,-5.654300190866763
240,59225.0,-3.5602690304851876
241,59225.041666666664,-3.5184093100372706
242,59225.083333333336,-3.5878842889505336
243,59225.125,-1.7263626116381943
244,59225.166666666664,-4.462246862753943
245,59225.208333333336,-6.51196926786389
246,59225.25,-5.091409716109354
247,59225.291666666664,-7.1293095895892975
248,59225.333333333336,-6.183100596938971
249,59225.375,-3.7992363458232035
250,59225.416666666664,-4.2157690726585315
251,59225.458333333336,-2.8205784713810544
252,59225.5,-1.9798728911902685
253,59225.541666666664,-2.839728471381079
254,59225.583333333336,-4.388164932401423
255,59225.625,-3.3159984713810786
256,59225.666666666664,-5.027950554765596
257,59225.708333333336,-5.584953687673078
258,59225.75,-4.681990080008177
259,59225.791666666664,-6.994687184479346
260,59225.833333333336,-9.555035533678904
261,59225.875,-9.952072485118094
262,59225.916666666664,-10.285554415470642
263,59225.958333333336,-10.906941604288562
264,59226.0,-11.49505091866439
265,59226.041666666664,-11.703033086395607
266,59226.083333333336,-11.661557142306009
267,59226.125,-12.042717785756878
268,59226.166666666664,-13.075708065308874
269,59226.208333333336,-11.658551926014013
270,59226.25,-12.486282163392701
271,59226.291666666664,-11.901165939751053
272,59226.333333333336,-13.563923882878385
273,59226.375,-10.126238429207689
274,59226.416666666664,-10.140245618025602
275,59226.458333333336,-9.161121240389775
276,59226.5,-8.63511557585224
277,59226.541666666664,-9.29997737968472
278,59226.583333333336,-6.4821535346411
279,59226.625,-9.883146134956405
280,59226.666666666664,-10.195668387034345
281,59226.708333333336,-10.963388708759766
282,59226.75,-11.607357785756875
283,59226.791666666664,-11.126320080008185
284,59226.833333333336,-12.118792891190253
285,59226.875,-12.940443212915682
286,59226.916666666664,-13.74880501674815
287,59226.958333333336,-13.809916219303119
288,59227.0,-12.703634974574783
289,59227.041666666664,-12.654578065308897
290,59227.083333333336,-11.157382806843515
291,59227.125,-9.76725160428856
292,59227.166666666664,-8.843961282563157
293,59227.208333333336,-8.52260437329727
294,59227.25,-7.780616904927285
295,59227.291666666664,-9.073598666586406
296,59227.333333333336,-8.506514331123924
297,59227.375,-7.180734737196076
298,59227.416666666664,-9.432947421858046
299,59227.458333333336,-7.869831604288549
300,59227.5,-6.70356325508908
